"Selected items1"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"	"2014-15"	"2015-16"
"Employer lump sum payments - 5% of amount B in lump sum payments box"	"$"	55641000	56003000	71834000	89233000	157970000	123637000	25143000	44497000	33726000	4e+07	2.8e+07	3.4e+07	3.4e+07	3.7e+07	3.5e+07	3.5e+07	2.1e+07	19279059	20751392	20709723	18022671	17428110	15735249	13886343	11915881	10122174	10419439	10267556	9838819	9946209	"8956589"	7652068	7492687	7894647	8157959	7661320	6702122	4471795
"Employment termination payments (ETP) - taxable component - blank"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	195301	279	49	1	NA
"Employment termination payments (ETP) - taxable component - blank"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3014413475	1918072	385708	5373	NA
"Employment termination payments (ETP) - taxable component - code blank split payment"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	294	20	NA	NA	NA
"Employment termination payments (ETP) - taxable component - code blank split payment"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8547456	90901	NA	NA	NA
"Employment termination payments (ETP) - taxable component - code excluded payment"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75071	67226	61425	44381
"Employment termination payments (ETP) - taxable component - code excluded payment"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1903056144	2014569428	2007555959	1710010623
"Employment termination payments (ETP) - taxable component - code excluded split payment"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	229	180	225	109
"Employment termination payments (ETP) - taxable component - code excluded split payment"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3380212	4134046	4388771	2362142
"Employment termination payments (ETP) - taxable component - code non-excluded payment"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	146585	156686	144759	129810
"Employment termination payments (ETP) - taxable component - code non-excluded payment"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1080470108	1255611436	1157347471	1134441942
"Employment termination payments (ETP) - taxable component - code non-excluded split payment"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	476	682	710	669
"Employment termination payments (ETP) - taxable component - code non-excluded split payment"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4209662	6981247	6280355	5277567
"Employment termination payments (ETP) - taxable component - ETP death benefits"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95	395	312	192	83
"Employment termination payments (ETP) - taxable component - ETP death benefits"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3663228	2995808	2332595	2736686	881848
"Employment termination payments (ETP) - taxable component - ETP death benefits not dependant"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	798	3403	1786	1088	697
"Employment termination payments (ETP) - taxable component - ETP death benefits not dependant"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6452159	21401608	13912207	8679137	6097465
"Employment termination payments (ETP) - taxable component - multiple"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23006	33060	31816	57363	75658
"Employment termination payments (ETP) - taxable component - multiple"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	319311304	609753697	632528793	823096498	1112710015
"Employment termination payments (ETP) - taxable component - transitional termination payment"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8403	7	2	0	1
"Employment termination payments (ETP) - taxable component - transitional termination payment"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	213275519	18779	10813	0	114
"Total employment termination payments (ETP) - taxable component"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	155290	"203595"	185300	190340	227897	259525	258739	265763	251408
"Total employment termination payments (ETP) - taxable component"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1811043573	"2828466915"	2480134847	2499594523	3565663141	3627294991	3930466273	4010090250	3971781716
"Australian Government allowances and payments like newstart, youth allowance and austudy payment"	"no."	376755	374345	389145	416365	563770	573755	547305	619795	714260	560515	799565	751720	912940	1030905	1139715	1184240	1321625	1443560	1383590	1266080	1176605	1164715	1184995	1185135	1146625	1081715	1046890	1013180	996215	971880	"968495"	1032915	1013300	973894	957029	1020081	1031623	986562
"Australian Government allowances and payments like newstart, youth allowance and austudy payment"	"$"	369950000	376346000	427233000	516585000	940266000	1143755000	1117208000	1508391000	1760166048	1.401e+09	2.197e+09	2.164e+09	2.955e+09	3.907e+09	4.493e+09	4.836e+09	4.501e+09	4893226896	4804597220	4447839856	4361728549	4261121395	4509424510	4831909870	4891684504	5097220637	4899335998	4727712212	4703237466	4714811245	"4587549014"	5243459980	5262820581	5093258045	5130975318	5871511337	6178317988	5950849264
"Australian Government pensions and allowances"	"no."	387700	390780	436510	468975	487260	505085	503070	553615	598340	657030	698420	659860	647720	680995	669450	686705	714795	791930	828065	759105	730170	734575	676575	673010	691840	704395	740470	760900	761470	762615	"735820"	742800	728165	728754	705840	679097	703679	683487
"Australian Government pensions and allowances"	"$"	790362000	829115000	996250000	1159757000	1398263000	1459831000	1601206000	1945987000	2260545000	2.875e+09	3.244e+09	3.24e+09	3.33e+09	3.483e+09	3.439e+09	3.573e+09	3.76e+09	4277423596	4643405772	4212576407	4093157845	4240444377	4068202062	4186105779	4487267412	4953282164	5391775429	5575749918	5783036343	5881763543	"5904062312"	6255343527	6605466280	6839677105	6642194453	6941519265	7315328401	7361598856
"Australian annuities and superannuation income streams - taxable component - taxed element"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	112395	"122360"	125770	132170	138053	139398	142034	150608	140299
"Australian annuities and superannuation income streams - taxable component - taxed element"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1825376667	"1797153433"	1656668147	1727258742	1879364950	1801285106	1989159716	2117604430	1993912691
"Australian annuities and superannuation income streams - taxable component - untaxed element"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	215910	"211050"	210330	215230	216114	215538	215928	220456	216964
"Australian annuities and superannuation income streams - taxable component - untaxed element"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4826833808	"5019510848"	5174301649	5585800471	5710820443	5905101552	6163696663	6546713384	6675865195
"Australian annuities and superannuation income streams - lump sum in arrears taxable component - taxed element"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1145	"955"	835	1180	883	1191	953	1203	714
"Australian annuities and superannuation income streams - lump sum in arrears taxable component - taxed element"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5533501	"7343754"	5861145	5704182	4353467	6360475	4641749	6496522	3512485
"Australian annuities and superannuation income streams - lump sum in arrears taxable component - untaxed element"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2215	"1175"	935	1480	1254	1455	1266	1763	1159
"Australian annuities and superannuation income streams - lump sum in arrears taxable component - untaxed element"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8693045	"10021127"	9343065	15134387	11977256	11668784	14796456	19468302	20092797
"Australian superannuation lump sum payments - taxed element - multiple"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18564	18639	32625	39276
"Australian superannuation lump sum payments - taxed element - multiple"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	802268355	824602343	1106866803	1127280187
"Australian superannuation lump sum payments - taxed element - single death benefit"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5350	5787	5465	5256
"Australian superannuation lump sum payments - taxed element - single death benefit"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	148585532	156963481	186638003	173220522
"Australian superannuation lump sum payments - taxed element - unknown"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80542	81556	63928	50631
"Australian superannuation lump sum payments - taxed element - unknown"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1754161887	1794767636	1763305982	1320743919
"Total Australian superannuation lump sum payments - taxed element"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92350	"88910"	95535	103970	100199	104456	105982	102018	95163
"Total Australian superannuation lump sum payments - taxed element"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2188028079	"2032889806"	1974000217	2260344106	2528997612	2705015774	2776333460	3056810788	2621244628
"Australian superannuation lump sum payments - untaxed element - multiple"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3255	2779	3848	4922
"Australian superannuation lump sum payments - untaxed element - multiple"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	105233780	98178582	142497729	141946659
"Australian superannuation lump sum payments - untaxed element - single death benefit"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1414	1497	1716	1686
"Australian superannuation lump sum payments - untaxed element - single death benefit"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45201674	47952822	69207241	64080581
"Australian superannuation lump sum payments - untaxed element - unknown"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10394	9384	8365	7518
"Australian superannuation lump sum payments - untaxed element - unknown"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	278915450	261552742	235106475	183712778
"Total Australian superannuation lump sum payments - untaxed element"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13130	"11615"	14740	15650	15175	15063	13660	13929	14126
"Total Australian superannuation lump sum payments - untaxed element"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	279888825	"307815768"	319833401	375036966	423488126	429350904	407684146	446811445	389740018
"Attributed personal services income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7480	7155	7660	7395	7245	7195	7600	8785	"9155"	14560	14965	16251	15550	14997	15130	13462
"Attributed personal services income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	156525007	148749122	173180276	183928936	188174560	209662811	233089041	285148928	"307415672"	430956682	524569872	647866230	689412520	688260027	679786983	636320077
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gross interest"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	4646215	5435580	5646385	5874335	6022305	5907990	5695450	5634645	5718455	6003285	5821715	5105835	4815925	4697850	4532210	4111485	4039060	4161355	4555760	4616330	5109960	6074695	"6437015"	6541230	7133065	7497290	7497840	7678467	7961656	7799548
"Gross interest"	"$"	NA	2289706000	2771047000	3907659000	NA	5075827000	5649374000	7206195000	8710649000	8.486e+09	9.242e+09	1.2629e+10	1.1621e+10	9.009e+09	6.591e+09	5.487e+09	5.848e+09	7751738850	7484402239	6175396307	5607148478	5676501198	6715224132	5885261161	6421899557	7535089074	8976549721	10189869463	12076065771	14286148659	"14973906992"	11778632480	16009412893	17736668450	15646024037	13812670272	12797613989	10884508715
"Tax file number amounts withheld from gross interest"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	136830	141275	120730	123380	135035	162480	183075	228055	399820	"426355"	418210	547720	611651	584073	596074	695401	638340
"Tax file number amounts withheld from gross interest"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29266338	37669935	31815449	36869489	43775841	52545479	62567050	76381268	109356861	"103599291"	86298846	123286806	130237232	111599675	108471988	121840047	105151444
"Dividends - unfranked amount"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1196090	1212515	"1116790"	1178520	1209190	1169158	1147128	1100156	1095402	1009691
"Dividends - unfranked amount"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	828994995	854403986	"789588438"	940225074	1067325829	1003129646	922313433	991589024	1044299020	979646526
"Dividends - franked amount"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	495790	612020	598010	632485	697695	768875	907255	985830	1115900	1329200	2002435	2446470	2672570	3311650	3274065	3219000	3183850	3136620	3110985	3146410	3165800	"3160605"	3166155	3145155	3079234	3053019	2977241	2937864	2888043
"Dividends - franked amount"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.101e+09	2.976e+09	1.807e+09	1.948e+09	1.836e+09	2.108e+09	2.52e+09	3.776e+09	4509210922	4770776522	5490587848	5998744802	6959419349	9142010570	8286281513	9798695016	11502618710	13451422861	15319337225	18865462410	19880049359	"20232654778"	18548022079	20697126192	20534949550	21450622426	23512250257	22717438940	22391909136
"Dividends - franking credit"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	561390	716170	714175	757225	837670	926045	1095990	1195015	1114855	1329200	1989385	2431825	2664070	3291625	3253530	3179500	3158615	3124200	3102000	3138375	3158510	"3153145"	3156960	3127170	3066822	3042120	2970398	2931436	2883230
"Dividends - franking credit"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.332e+09	3.8e+09	1.442e+09	1.581e+09	1.493e+09	1.724e+09	2.045e+09	2.839e+09	2546662168	2674863996	3075503927	3363646252	3897561039	4683948868	3537670899	4180653212	4911566061	5752031686	6552242985	8073905501	8509972026	"8662624383"	7939115606	8863897688	8793875898	9184798109	10070088114	9729564950	9590140824
"Tax file number amounts withheld from dividends"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	114880	111510	79300	87310	79910	70465	62275	61430	70670	"64970"	79595	89865	107367	81920	74133	72737	60119
"Tax file number amounts withheld from dividends"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12490865	12056718	7002899	8069729	5653853	6681271	6098508	7160786	6841506	"7663839"	11422572	11469108	11705450	8303826	7089747	8737663	8044834
"Employee share schemes - discount from taxed upfront schemes - eligible for reduction"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83965	153630	166499	186444	207456	187862	174681
"Employee share schemes - discount from taxed upfront schemes - eligible for reduction"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84725673	170208173	166598971	175335330	200696862	186922799	189716027
"Employee share schemes - discount from taxed upfront schemes - not eligible for reduction"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10885	11215	12421	12358	14580	12698	15600
"Employee share schemes - discount from taxed upfront schemes - not eligible for reduction"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	144721510	111203154	98387794	119577122	143390593	122186885	120146033
"Employee share schemes - discount from deferral schemes"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4730	25060	41270	82462	81883	78994	67538
"Employee share schemes - discount from deferral schemes"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	117254028	573991937	1016366602	2158569028	2750166571	3544662026	3344817022
"Employee share schemes - Discount on ESS Interests acquired pre 1 July 2009 and ‘cessation time’ occurred during financial year"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41385	43255	36103	21988	19043	8430	5319
"Employee share schemes - Discount on ESS Interests acquired pre 1 July 2009 and ‘cessation time’ occurred during financial year"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1435976280	1751282162	1289954873	829146842	548482274	364522775	218905639
"Employee share schemes - total assessable discount"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6045"	57690	86895	86740	116070	115963	107949	99703
"Employee share schemes - total assessable discount"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"121178365"	1716699541	2472848030	2440931387	3140024634	3476576378	4063574083	3733082915
"Employee share schemes - TFN amounts withheld from discounts"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	195	670	551	262	356	222	340
"Employee share schemes - TFN amounts withheld from discounts"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	388012	924698	674152	3895361	4763038	4392594	3639188
"Employee share schemes - foreign source discounts"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	260	370	666	868	1016	1013	833
"Employee share schemes - foreign source discounts"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10914989	18748125	24971198	50811899	82788254	90770802	79380026
"Total supplement income or loss (itemised below)2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4706460	4847675	"4631315"	4791400	5008755	5019962	5029778	5065814	5121536	4829399
"Total supplement income or loss (itemised below)2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83214011701	84503374044	"73625992375"	80146064112	88470073775	89653562522	94804435891	107482080298	113762033421	114010962322
"Excess concessional contributions amount for income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87771	52983	62892
"Excess concessional contributions amount for income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	551966733	354905713	396800259
"Excess non-concessional contributions earnings amount"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2520	1981
"Excess non-concessional contributions earnings amount"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29436102	20264085
"Total Income or Loss2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12401780	12886875	"12729125"	12879055	13110025	13305378	13340688	13572771	13675261	13422304
"Total Income or Loss2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.21832e+11	2.34246e+11	2.49308e+11	274678842614	290027340577	306426378841	321360167922	348854939540	356070315208	368697577495	388239211578	419835401618	453002143433	488634174528	566246339823	600894119100	"612462321199"	637544293764	693508653589	735659086960	771877628136	809672830075	829727216397	830277472348
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Deductions"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
